hour,month,hour_of_day,T_outdoor_C,kWh_m2_RB,kWh_m2_NA,PMV_NA
2183,3,23,-2.7,0.4663,0.36487,-0.247
2184,3,0,-2.35,0.44155,0.3636,0.095
2185,3,1,-1.47,0.4387,0.36479,-0.616
2186,3,2,0.57,0.42978,0.36874,-0.332
2187,3,3,-1.36,0.46115,0.37538,-0.576
2188,3,4,0.4,0.45467,0.3741,-0.53
2189,3,5,-0.14,0.46834,0.37599,0.376
2190,4,6,3.77,0.45428,0.36718,0.191
2191,4,7,0.79,0.42603,0.37425,0.844
2192,4,8,-0.1,0.45061,0.36904,0.513
2193,4,9,-0.2,0.46257,0.37175,1.201
2194,4,10,1.37,0.46756,0.36285,-0.315
2195,4,11,0.16,0.45746,0.37546,-0.117
2196,4,12,-0.76,0.45113,0.36243,0.212
2197,4,13,-4.18,0.44799,0.37259,0.396
2198,4,14,-3.94,0.45123,0.36289,0.297
2199,4,15,-2.06,0.44901,0.37447,0.219
2200,4,16,-2.89,0.42707,0.36837,0.295
2201,4,17,-2.81,0.43293,0.36877,-0.452
2202,4,18,-3.88,0.43552,0.36209,-0.205
2203,4,19,-4.25,0.45563,0.37131,0.44
2204,4,20,-3.25,0.44977,0.37522,-0.173
2205,4,21,-2.62,0.45796,0.37352,-1.018
2206,4,22,-2.34,0.4331,0.37294,0.326
2207,4,23,-2.07,0.45251,0.37187,-0.403
2208,4,0,-2.14,0.4683,0.36429,0.248
2209,4,1,-0.53,0.4651,0.36992,-0.274
2210,4,2,0.61,0.42635,0.37172,0.933
2211,4,3,0.65,0.43279,0.36612,-0.073
2212,4,4,-3.03,0.44233,0.3663,0.294
2213,4,5,0.89,0.44449,0.37012,-0.129
2214,4,6,2.91,0.45593,0.37095,0.552
2215,4,7,1.01,0.43537,0.37035,-0.681
2216,4,8,-0.13,0.45724,0.36571,-0.031
2217,4,9,-0.13,0.46897,0.36849,0.164
2218,4,10,-1.22,0.42941,0.36813,-0.47
2219,4,11,0.58,0.43319,0.37515,-0.551
2220,4,12,1.01,0.42621,0.36991,0.121
2221,4,13,-1.19,0.46401,0.37107,-0.082
2222,4,14,-1.66,0.4252,0.37204,0.496
2223,4,15,-2.21,0.42491,0.36625,-0.381
2224,4,16,-5.14,0.45545,0.36938,0.084
2225,4,17,-3.38,0.45669,0.374,0.15
2226,4,18,-2.49,0.44201,0.36356,-0.327
2227,4,19,-5.44,0.45535,0.36325,-0.016
2228,4,20,-3.33,0.44769,0.37383,-0.406
2229,4,21,-1.88,0.43417,0.37046,0.073
2230,4,22,-1.05,0.46861,0.36857,0.351
2231,4,23,-0.85,0.43234,0.36221,-0.149
2232,4,0,-2.91,0.44216,0.37622,-0.141
2233,4,1,0.51,0.43563,0.36614,-0.384
2234,4,2,0.1,0.43454,0.37226,-0.61
2235,4,3,-0.69,0.42558,0.36199,0.708
2236,4,4,1.63,0.4512,0.36809,0.048
2237,4,5,0.41,0.4405,0.37001,0.099
2238,4,6,0.03,0.43231,0.36952,-0.027
2239,4,7,0.93,0.45125,0.3715,0.013
2240,4,8,0.13,0.45134,0.37443,-0.078
2241,4,9,-1.29,0.45028,0.36858,0.838
2242,4,10,0.1,0.44826,0.36755,-0.254
2243,4,11,-2.36,0.44356,0.37085,0.143
2244,4,12,-0.59,0.44772,0.37438,-0.325
2245,4,13,-1.87,0.43317,0.37253,0.483
2246,4,14,-0.54,0.42923,0.37098,-0.614
2247,4,15,-4.23,0.46822,0.36804,-0.454
2248,4,16,-2.0,0.4291,0.3727,0.59
2249,4,17,-2.22,0.45159,0.36634,-0.246
2250,4,18,-2.01,0.44902,0.37153,-0.329
2251,4,19,-2.83,0.43876,0.37081,-0.207
2252,4,20,-3.4,0.45343,0.36571,-0.293
2253,4,21,-2.4,0.46332,0.3675,0.322
2254,4,22,-2.25,0.4396,0.36828,-0.189
2255,4,23,-0.68,0.42567,0.37302,0.42
2256,4,0,1.6,0.43776,0.36787,-0.134
2257,4,1,0.15,0.44174,0.37186,0.292
2258,4,2,0.39,0.45169,0.3731,-0.209
2259,4,3,-1.47,0.44362,0.36729,-0.052
2260,4,4,-0.7,0.45836,0.36293,-0.256
2261,4,5,0.72,0.46327,0.36288,-0.01
2262,4,6,1.0,0.42805,0.36405,-0.5
2263,4,7,0.67,0.46467,0.36331,0.574
2264,4,8,0.24,0.46293,0.37153,0.198
2265,4,9,0.37,0.46167,0.37284,0.338
2266,4,10,0.11,0.43106,0.37449,-0.403
2267,4,11,-1.98,0.46625,0.36233,-0.141
2268,4,12,0.22,0.43859,0.36947,-0.069
2269,4,13,-1.65,0.42903,0.36398,0.034
2270,4,14,-5.0,0.4428,0.36604,0.116
2271,4,15,-1.75,0.43163,0.36484,0.063
2272,4,16,-3.48,0.45454,0.3663,0.064
2273,4,17,-4.41,0.44006,0.37408,-0.691
2274,4,18,-3.26,0.45044,0.3627,0.262
2275,4,19,-2.61,0.42669,0.36459,0.657
2276,4,20,-3.57,0.45387,0.37537,-0.185
2277,4,21,-2.88,0.44249,0.36737,0.637
2278,4,22,-4.0,0.43454,0.37056,0.481
2279,4,23,-1.97,0.42544,0.36571,-0.011
2280,4,0,-3.54,0.42552,0.36495,0.075
2281,4,1,-1.99,0.44976,0.36389,0.283
2282,4,2,0.96,0.44347,0.37586,0.39
2283,4,3,-1.42,0.4296,0.36473,-0.176
2284,4,4,-1.13,0.45367,0.3673,0.174
2285,4,5,0.75,0.45226,0.36988,0.392
2286,4,6,0.85,0.45875,0.36806,-0.156
2287,4,7,-0.72,0.43491,0.37512,-0.351
2288,4,8,1.37,0.45961,0.36198,-0.535
2289,4,9,0.02,0.45554,0.36551,-0.075
2290,4,10,-0.42,0.43933,0.36355,-0.054
2291,4,11,-1.83,0.45398,0.3705,0.346
2292,4,12,-0.9,0.46117,0.3645,-0.136
2293,4,13,-1.65,0.46738,0.36492,-0.07
2294,4,14,-2.59,0.45968,0.36767,0.468
2295,4,15,-2.56,0.43117,0.37534,-0.147
2296,4,16,-3.85,0.43465,0.37439,-0.062
2297,4,17,-2.41,0.43214,0.36857,-0.171
2298,4,18,-2.77,0.45109,0.37223,-0.107
2299,4,19,-3.18,0.46221,0.37109,0.49
2300,4,20,-3.92,0.4664,0.37341,0.184
2301,4,21,-2.24,0.44126,0.37141,-0.618
2302,4,22,-3.63,0.43645,0.37003,-1.139
2303,4,23,-2.36,0.42759,0.37099,0.335
2304,4,0,-2.92,0.46746,0.36518,-0.043
2305,4,1,0.04,0.44368,0.37185,0.28
2306,4,2,-1.65,0.45839,0.37536,0.124
2307,4,3,0.3,0.44356,0.36874,-0.002
2308,4,4,-0.6,0.46474,0.37349,0.223
2309,4,5,0.89,0.46393,0.3717,0.386
2310,4,6,1.43,0.44409,0.36905,0.008
2311,4,7,-0.05,0.42896,0.36835,-0.245
2312,4,8,1.34,0.43818,0.3723,-0.353
2313,4,9,-0.52,0.46046,0.36714,-0.272
2314,4,10,-0.66,0.44045,0.36307,-0.121
2315,4,11,-0.6,0.4321,0.36331,-0.086
2316,4,12,-1.48,0.43146,0.37024,0.406
2317,4,13,-1.93,0.45082,0.37579,-0.215
2318,4,14,-1.2,0.43037,0.36806,-0.296
2319,4,15,-2.79,0.44308,0.37612,-0.615
2320,4,16,-2.91,0.43233,0.36988,0.315
2321,4,17,-3.82,0.43534,0.36302,-0.032
2322,4,18,-1.71,0.43907,0.36953,0.04
2323,4,19,-2.52,0.44257,0.37329,1.141
2324,4,20,-0.78,0.43269,0.37438,0.011
2325,4,21,-3.04,0.44018,0.37483,-0.899
2326,4,22,-2.52,0.45807,0.36318,0.109
2327,4,23,-0.64,0.43291,0.36335,0.162
2328,4,0,-1.13,0.46559,0.37093,-0.333
2329,4,1,-0.72,0.46479,0.36642,-0.17
2330,4,2,-1.43,0.44703,0.36517,-0.327
2331,4,3,0.95,0.44235,0.37233,0.533
2332,4,4,0.65,0.45138,0.37096,-0.161
2333,4,5,0.77,0.44652,0.36883,-0.248
2334,4,6,-1.18,0.44333,0.37069,-0.578
2335,4,7,-0.46,0.44668,0.3704,-0.368
2336,4,8,1.4,0.45881,0.36243,0.07
2337,4,9,-1.9,0.44057,0.3758,0.613
2338,4,10,1.43,0.46765,0.36389,-0.139
2339,4,11,-0.96,0.42643,0.36338,-0.138
2340,4,12,-0.25,0.43072,0.37045,0.326
2341,4,13,-2.22,0.43987,0.37072,-0.421
2342,4,14,-0.74,0.43963,0.36383,0.515
2343,4,15,-3.46,0.45292,0.37146,0.172
2344,4,16,-3.5,0.42542,0.37363,0.502
2345,4,17,-2.09,0.45911,0.36902,-0.076
2346,4,18,-2.27,0.44759,0.3703,0.49
2347,4,19,-2.94,0.44455,0.37143,0.543
2348,4,20,-3.26,0.46339,0.37116,-0.407
2349,4,21,-3.69,0.42548,0.37385,0.454
2350,4,22,-2.78,0.43965,0.3733,-0.214
2351,4,23,-3.25,0.43197,0.36328,0.297
2352,4,0,-1.46,0.43888,0.37028,0.479
2353,4,1,0.5,0.45602,0.37198,0.76
2354,4,2,-0.58,0.4642,0.37037,-0.191
2355,4,3,0.98,0.43557,0.3677,-0.175
2356,4,4,1.05,0.45698,0.36845,-0.156
2357,4,5,1.2,0.45658,0.37093,0.129
2358,4,6,-0.95,0.42713,0.37348,-0.226
2359,4,7,0.37,0.43492,0.36837,-0.391
2360,4,8,1.32,0.46815,0.37556,-0.207
2361,4,9,0.29,0.44235,0.36937,0.021
2362,4,10,0.12,0.43247,0.37067,-0.11
2363,4,11,-0.4,0.42796,0.37069,0.519
2364,4,12,-2.0,0.45737,0.37463,0.23
2365,4,13,-1.89,0.42557,0.36785,0.081
2366,4,14,-1.57,0.46635,0.37509,0.124
2367,4,15,-1.45,0.42455,0.36703,0.447
2368,4,16,-2.78,0.44535,0.3632,0.238
2369,4,17,-2.92,0.46454,0.36307,-0.633
2370,4,18,-2.9,0.43758,0.36417,-0.384
2371,4,19,-3.29,0.45052,0.37501,-0.531
2372,4,20,-1.14,0.43251,0.37219,0.12
2373,4,21,-3.93,0.45435,0.36478,0.248
2374,4,22,-0.62,0.45542,0.37508,0.378
2375,4,23,-2.23,0.43449,0.3673,-0.046
2376,4,0,-1.29,0.45343,0.36702,0.443
2377,4,1,0.4,0.4379,0.37542,0.159
2378,4,2,-0.29,0.46846,0.37066,-0.185
2379,4,3,1.97,0.43737,0.36246,0.226
2380,4,4,-0.31,0.46571,0.37424,-0.219
2381,4,5,1.51,0.4339,0.36461,-0.198
2382,4,6,-0.06,0.42734,0.37229,0.451
2383,4,7,0.63,0.43622,0.36716,0.087
2384,4,8,1.74,0.46404,0.37508,0.395
2385,4,9,0.46,0.44454,0.37169,0.368
2386,4,10,-1.45,0.44712,0.36473,0.265
2387,4,11,-1.11,0.46043,0.36723,0.27
2388,4,12,-2.08,0.45856,0.36431,0.282
2389,4,13,-2.86,0.44803,0.37378,-0.01
2390,4,14,-1.15,0.45349,0.36253,-0.011
2391,4,15,-2.13,0.43216,0.37173,-0.762
2392,4,16,-4.25,0.44903,0.37364,0.215
2393,4,17,-4.62,0.45577,0.36271,-0.268
2394,4,18,-3.4,0.45229,0.37432,0.198
2395,4,19,-2.36,0.44701,0.36949,-0.108
2396,4,20,-2.38,0.42688,0.36994,0.703
2397,4,21,-1.44,0.45698,0.36934,0.546
2398,4,22,-2.41,0.44759,0.37318,0.373
2399,4,23,-1.39,0.43009,0.36656,0.41
2400,4,0,0.0,0.45061,0.36225,0.123
2401,4,1,-0.3,0.45612,0.37445,-0.628
2402,4,2,1.32,0.43519,0.3626,-0.088
2403,4,3,1.46,0.46643,0.37633,-0.018
2404,4,4,0.54,0.44419,0.37049,0.112
2405,4,5,1.1,0.46727,0.36871,0.017
2406,4,6,1.78,0.44379,0.3739,0.213
2407,4,7,0.55,0.446,0.37177,-0.4
2408,4,8,0.1,0.43905,0.37313,0.243
2409,4,9,1.27,0.44238,0.37289,-0.121
2410,4,10,0.41,0.43907,0.36701,0.017
2411,4,11,-1.56,0.44821,0.36629,0.397
2412,4,12,-1.08,0.46857,0.36483,-0.673
2413,4,13,-2.64,0.45981,0.3692,-0.32
2414,4,14,-1.26,0.43773,0.36745,-0.144
2415,4,15,-3.12,0.44786,0.36167,-0.36
2416,4,16,-3.54,0.43576,0.36411,-0.182
2417,4,17,-1.83,0.46105,0.37152,0.207
2418,4,18,-2.41,0.45345,0.37537,0.57
2419,4,19,-3.85,0.42861,0.37402,-0.33
2420,4,20,-2.18,0.44283,0.36819,-0.044
2421,4,21,-0.6,0.45867,0.36685,-0.394
2422,4,22,-3.54,0.4492,0.36973,0.213
2423,4,23,-2.3,0.46218,0.36167,-0.005
2424,4,0,-1.73,0.4402,0.37106,-0.007
2425,4,1,-0.16,0.45307,0.3712,-0.078
2426,4,2,-0.74,0.45742,0.37223,-0.044
2427,4,3,-2.39,0.44849,0.37268,0.356
2428,4,4,1.35,0.46482,0.37066,0.512
2429,4,5,0.61,0.45181,0.36269,-0.021
2430,4,6,2.56,0.45592,0.37484,-0.361
2431,4,7,2.08,0.43801,0.36438,0.665
2432,4,8,-0.12,0.46046,0.36385,-0.194
2433,4,9,-0.77,0.45629,0.364,-0.284
2434,4,10,-0.39,0.43807,0.36753,-0.097
2435,4,11,0.82,0.44762,0.37002,-0.115
2436,4,12,0.5,0.42716,0.37076,0.397
2437,4,13,-2.82,0.46816,0.36379,0.448
2438,4,14,-2.07,0.45412,0.37459,0.247
2439,4,15,-3.22,0.45596,0.36241,0.405
2440,4,16,-2.34,0.43669,0.3624,-0.024
2441,4,17,-5.08,0.44141,0.37026,0.416
2442,4,18,-4.37,0.44712,0.37632,0.81
2443,4,19,-3.69,0.4639,0.36791,-0.412
2444,4,20,-3.08,0.46294,0.36218,0.244
2445,4,21,-0.98,0.46302,0.37066,-0.232
2446,4,22,-3.26,0.44517,0.37198,0.071
2447,4,23,-0.78,0.44337,0.37027,-0.056
2448,4,0,-1.27,0.4344,0.36498,-0.592
2449,4,1,-1.08,0.4303,0.36363,-0.475
2450,4,2,-0.4,0.44248,0.36561,0.184
2451,4,3,2.63,0.44313,0.36747,0.132
2452,4,4,0.63,0.46366,0.36341,0.04
2453,4,5,0.01,0.44638,0.37034,0.877
2454,4,6,1.54,0.42643,0.37253,0.369
2455,4,7,1.66,0.44647,0.37192,-0.256
2456,4,8,0.82,0.46627,0.36581,0.001
2457,4,9,-1.1,0.4291,0.36763,-0.788
2458,4,10,0.22,0.46403,0.36188,0.174
2459,4,11,-0.8,0.43365,0.36902,0.593
2460,4,12,-1.55,0.46869,0.37076,0.468
2461,4,13,-3.73,0.42494,0.37067,-0.038
2462,4,14,-1.75,0.44847,0.37411,1.061
2463,4,15,-2.22,0.45482,0.36476,-0.759
2464,4,16,-2.9,0.42682,0.37443,0.115
2465,4,17,-3.23,0.43,0.36958,-0.002
2466,4,18,-3.56,0.46588,0.37338,-0.498
2467,4,19,-3.88,0.46618,0.3671,0.478
2468,4,20,-2.95,0.44064,0.36393,-0.154
2469,4,21,-2.56,0.46646,0.37027,0.232
2470,4,22,-3.85,0.45517,0.36586,0.347
2471,4,23,-1.35,0.45902,0.37204,-0.748
2472,4,0,-0.07,0.4658,0.37066,-0.307
2473,4,1,-0.08,0.46213,0.36685,0.164
2474,4,2,0.66,0.43536,0.36498,-0.062
2475,4,3,1.45,0.42478,0.36831,0.38
2476,4,4,-1.37,0.44884,0.36394,-0.034
2477,4,5,1.79,0.46348,0.37036,-0.392
2478,4,6,0.89,0.46454,0.3691,-0.21
2479,4,7,0.86,0.45287,0.37356,-0.001
2480,4,8,-0.8,0.43713,0.37149,0.253
2481,4,9,-2.18,0.42545,0.37472,-0.417
2482,4,10,-0.43,0.45575,0.36429,0.404
2483,4,11,-3.7,0.45378,0.36859,0.072
2484,4,12,-3.22,0.42661,0.3752,-0.006
2485,4,13,-3.75,0.4491,0.36847,-0.22
2486,4,14,-2.69,0.43059,0.36884,-0.084
2487,4,15,-1.69,0.43681,0.37152,0.256
2488,4,16,-1.93,0.46424,0.36754,0.408
2489,4,17,-2.99,0.42724,0.36659,-0.638
2490,4,18,-3.24,0.44395,0.36558,0.408
2491,4,19,-4.08,0.46149,0.3762,-0.312
2492,4,20,-3.89,0.458,0.37461,0.027
2493,4,21,-2.56,0.44709,0.37082,0.249
2494,4,22,-1.31,0.4496,0.37199,0.386
2495,4,23,-2.69,0.46458,0.37085,0.122
2496,4,0,-2.2,0.46551,0.36908,0.507
2497,4,1,-0.5,0.46537,0.37118,0.049
2498,4,2,1.63,0.42856,0.36446,-0.807
2499,4,3,0.62,0.42568,0.37513,0.018
2500,4,4,0.22,0.44247,0.37565,-0.945
2501,4,5,-0.23,0.43669,0.36848,0.017
2502,4,6,0.76,0.45554,0.36297,0.232
2503,4,7,0.71,0.4656,0.36824,0.418
2504,4,8,0.09,0.43081,0.36568,0.787
2505,4,9,-0.02,0.45345,0.36526,-0.291
2506,4,10,-3.39,0.44827,0.36439,-0.287
2507,4,11,-3.0,0.43722,0.37031,0.219
2508,4,12,-1.14,0.43799,0.3709,0.206
2509,4,13,-3.46,0.43728,0.36415,0.601
2510,4,14,-1.7,0.46402,0.36734,-0.468
2511,4,15,-4.17,0.43885,0.36523,-0.2
2512,4,16,-1.88,0.4652,0.37199,0.562
2513,4,17,-2.76,0.43254,0.36991,-0.269
2514,4,18,-4.29,0.43814,0.36666,-0.035
2515,4,19,-3.97,0.44653,0.37306,0.459
2516,4,20,-2.48,0.4616,0.37626,-0.225
2517,4,21,-4.81,0.45581,0.36252,-0.357
2518,4,22,-2.43,0.45704,0.36338,-0.113
2519,4,23,-3.21,0.45356,0.36841,0.321
2520,4,0,-1.65,0.43426,0.36409,-0.192
2521,4,1,-0.21,0.45384,0.374,-0.017
2522,4,2,-0.3,0.43508,0.37536,0.149
2523,4,3,1.28,0.46423,0.37287,0.263
2524,4,4,-0.75,0.46123,0.37306,1.029
2525,4,5,0.57,0.45281,0.36208,-0.919
2526,4,6,-0.15,0.4639,0.36655,-0.333
2527,4,7,1.86,0.43604,0.36349,0.068
2528,4,8,0.5,0.43235,0.37376,0.087
2529,4,9,0.61,0.43678,0.36828,0.18
2530,4,10,-1.22,0.42757,0.36367,0.627
2531,4,11,-2.51,0.42468,0.37298,0.527
2532,4,12,-3.06,0.45632,0.36838,-0.309
2533,4,13,-1.82,0.46833,0.36568,-0.086
2534,4,14,-3.27,0.43836,0.36281,0.209
2535,4,15,-3.1,0.43474,0.37245,0.288
2536,4,16,-3.69,0.42907,0.37587,-0.29
2537,4,17,-3.08,0.44014,0.36924,0.363
2538,4,18,-2.57,0.45198,0.36284,-0.54
2539,4,19,-3.35,0.43316,0.3662,0.349
2540,4,20,-3.37,0.44955,0.37565,0.391
2541,4,21,-1.42,0.43555,0.37153,0.458
2542,4,22,-1.55,0.43023,0.36588,-0.081
2543,4,23,-2.02,0.43107,0.37414,-0.25
2544,4,0,-1.11,0.42906,0.3667,0.221
2545,4,1,-2.82,0.46908,0.36587,0.308
2546,4,2,-0.25,0.43904,0.37137,-0.07
2547,4,3,0.14,0.44121,0.36958,-0.386
2548,4,4,1.21,0.44807,0.3631,0.305
2549,4,5,-0.3,0.43542,0.37211,0.171
2550,4,6,-0.63,0.45894,0.37553,0.439
2551,4,7,2.54,0.43658,0.37599,0.198
2552,4,8,0.97,0.4659,0.37228,-0.133
2553,4,9,-0.1,0.46553,0.37262,0.54
2554,4,10,-0.49,0.4486,0.37407,-0.024
2555,4,11,-0.64,0.43404,0.36795,0.073
2556,4,12,0.24,0.43939,0.37188,0.427
2557,4,13,-0.4,0.45406,0.37057,0.787
2558,4,14,-1.53,0.43233,0.37142,-0.339
2559,4,15,-3.34,0.46632,0.37158,0.127
2560,4,16,-4.85,0.4613,0.37256,-0.062
2561,4,17,-2.45,0.46292,0.36501,0.101
2562,4,18,-3.63,0.44373,0.37601,0.36
2563,4,19,-4.03,0.45339,0.36962,0.448
2564,4,20,-2.54,0.44942,0.36492,0.244
2565,4,21,-3.06,0.42534,0.37615,0.331
2566,4,22,-2.0,0.425,0.36502,0.394
2567,4,23,0.28,0.45608,0.3733,-0.319
2568,4,0,0.65,0.46069,0.37229,0.282
2569,4,1,0.11,0.43893,0.36363,0.582
2570,4,2,1.41,0.46607,0.36543,-0.783
2571,4,3,-0.09,0.43395,0.37425,0.632
2572,4,4,-0.23,0.44865,0.37423,0.113
2573,4,5,0.47,0.46042,0.37433,-0.278
2574,4,6,-0.05,0.44709,0.3726,0.411
2575,4,7,0.9,0.45663,0.37421,-0.442
2576,4,8,0.08,0.44864,0.37201,-0.297
2577,4,9,-0.83,0.42506,0.3719,0.342
2578,4,10,-0.1,0.44379,0.36941,0.024
2579,4,11,-2.62,0.42643,0.36701,0.552
2580,4,12,-2.67,0.45944,0.36996,0.078
2581,4,13,-1.48,0.45947,0.3757,-0.121
2582,4,14,-1.92,0.45629,0.37355,0.444
2583,4,15,-2.47,0.46087,0.36226,-0.233
2584,4,16,-4.09,0.46262,0.37318,-0.476
2585,4,17,-2.17,0.4447,0.37457,0.225
2586,4,18,-2.56,0.43524,0.36225,-0.401
2587,4,19,-3.32,0.46213,0.36917,-0.733
2588,4,20,-2.99,0.42855,0.37193,0.289
2589,4,21,-2.93,0.43512,0.37351,0.472
2590,4,22,-3.72,0.46687,0.37566,0.083
2591,4,23,-2.43,0.45262,0.36634,-0.071
2592,4,0,-1.43,0.44096,0.36327,0.022
2593,4,1,-0.69,0.46028,0.36835,-0.245
2594,4,2,-2.08,0.45734,0.36699,0.074
2595,4,3,-0.1,0.42736,0.37357,-0.419
2596,4,4,0.19,0.44613,0.36932,0.14
2597,4,5,-0.6,0.44686,0.36486,0.522
2598,4,6,0.19,0.42763,0.36577,-0.256
2599,4,7,1.66,0.44922,0.36167,0.531
2600,4,8,0.83,0.46351,0.36395,-0.094
2601,4,9,0.34,0.4526,0.37425,0.322
2602,4,10,1.2,0.45428,0.37305,-0.247
2603,4,11,-1.42,0.43752,0.37554,0.093
2604,4,12,-1.48,0.44039,0.36293,-0.61
2605,4,13,-2.42,0.44514,0.37457,-0.342
2606,4,14,-0.16,0.44347,0.3745,0.089
2607,4,15,-3.41,0.44578,0.37387,0.105
2608,4,16,-2.62,0.43461,0.37608,0.103
2609,4,17,-3.36,0.44659,0.36329,-0.019
2610,4,18,-2.68,0.46561,0.37062,0.118
2611,4,19,-3.07,0.45033,0.37535,0.006
2612,4,20,-3.3,0.42506,0.36814,0.187
2613,4,21,-2.59,0.45141,0.36397,0.067
2614,4,22,-0.48,0.46491,0.3745,-0.392
2615,4,23,-2.35,0.45729,0.36682,1.112
2616,4,0,-1.56,0.46127,0.37639,0.024
2617,4,1,-0.94,0.44817,0.36515,0.17
2618,4,2,-0.73,0.45782,0.36192,-0.745
2619,4,3,1.2,0.43406,0.36282,-0.843
2620,4,4,2.55,0.45308,0.36692,0.247
2621,4,5,-0.15,0.42625,0.36439,-0.282
2622,4,6,-1.13,0.43239,0.3633,-0.346
2623,4,7,-0.14,0.4389,0.37149,0.327
2624,4,8,0.67,0.45354,0.36932,-0.736
2625,4,9,-1.7,0.45919,0.37257,-0.406
2626,4,10,-1.27,0.4591,0.3758,0.589
2627,4,11,-1.63,0.46003,0.37065,0.669
2628,4,12,-0.96,0.45884,0.37151,0.263
2629,4,13,-1.88,0.42697,0.36827,-0.36
2630,4,14,-2.93,0.42451,0.36711,0.662
2631,4,15,-2.12,0.4258,0.36214,0.231
2632,4,16,-1.99,0.44445,0.36973,0.247
2633,4,17,-4.26,0.44792,0.36447,-0.28
2634,4,18,-3.17,0.43105,0.36265,0.79
2635,4,19,-2.36,0.427,0.36355,-0.203
2636,4,20,-2.57,0.45853,0.37526,-0.731
2637,4,21,-3.65,0.43398,0.3659,-0.08
2638,4,22,-1.66,0.43378,0.37404,0.414
2639,4,23,-2.51,0.42909,0.36757,-0.163
2640,4,0,-0.28,0.4364,0.37091,-0.081
2641,4,1,-1.5,0.43638,0.37154,0.344
2642,4,2,-0.03,0.45537,0.36341,0.132
2643,4,3,-1.5,0.44779,0.37578,-0.371
2644,4,4,0.48,0.46084,0.3733,-0.07
2645,4,5,1.39,0.43045,0.36528,0.05
2646,4,6,-0.39,0.45682,0.36779,-0.161
2647,4,7,-0.45,0.43034,0.36361,0.415
2648,4,8,0.13,0.4343,0.37021,-0.083
2649,4,9,-0.72,0.4268,0.37483,-0.496
2650,4,10,-0.71,0.4414,0.37306,-0.364
2651,4,11,-3.19,0.45553,0.37047,-0.134
2652,4,12,-1.56,0.46816,0.3688,-0.207
2653,4,13,-2.98,0.46193,0.36363,-0.098
2654,4,14,-2.47,0.44395,0.37615,-0.374
2655,4,15,-2.79,0.43343,0.37202,-0.433
2656,4,16,-1.45,0.43956,0.36999,-0.472
2657,4,17,-5.52,0.44846,0.36733,-0.222
2658,4,18,-3.35,0.46479,0.36495,0.56
2659,4,19,-3.53,0.43265,0.36746,-0.35
2660,4,20,-2.67,0.44981,0.36901,-0.123
2661,4,21,-3.15,0.46273,0.36879,0.126
2662,4,22,-2.09,0.44503,0.37059,-0.109
2663,4,23,-2.04,0.45793,0.3651,0.367
2664,4,0,-1.81,0.44517,0.37482,0.401
2665,4,1,-1.81,0.46512,0.36894,-0.157
2666,4,2,-0.01,0.46353,0.37133,0.215
2667,4,3,-0.12,0.4677,0.36433,0.066
2668,4,4,0.43,0.45625,0.37224,-0.175
2669,4,5,1.81,0.46209,0.37067,-0.305
2670,4,6,2.17,0.46296,0.37495,-0.603
2671,4,7,0.6,0.44394,0.36972,-0.076
2672,4,8,-0.65,0.43376,0.36749,0.573
2673,4,9,1.6,0.43895,0.37074,-0.573
2674,4,10,-1.77,0.45238,0.36328,0.08
2675,4,11,0.99,0.44897,0.37268,-0.062
2676,4,12,-0.37,0.45829,0.37405,-0.941
2677,4,13,-2.21,0.43626,0.36798,0.758
2678,4,14,-1.55,0.461,0.36931,-0.569
2679,4,15,-2.25,0.46077,0.36776,-0.099
2680,4,16,-4.28,0.44828,0.37104,0.31
2681,4,17,-3.5,0.43639,0.36236,-0.064
2682,4,18,-3.81,0.46632,0.37016,-0.26
2683,4,19,-1.65,0.4247,0.37487,-0.783
2684,4,20,-5.5,0.46651,0.37244,0.652
2685,4,21,-2.24,0.46251,0.37575,-0.075
2686,4,22,-0.35,0.43392,0.36373,0.197
2687,4,23,-1.99,0.43433,0.36287,-0.311
2688,4,0,0.36,0.45176,0.36429,0.05
2689,4,1,0.63,0.43505,0.36639,0.424
2690,4,2,1.1,0.43011,0.37264,-0.65
2691,4,3,1.4,0.46612,0.3745,-0.422
2692,4,4,-0.39,0.45715,0.37105,0.247
2693,4,5,1.07,0.43836,0.37117,0.14
2694,4,6,-0.21,0.4477,0.36807,-0.515
2695,4,7,2.03,0.45147,0.37598,0.222
2696,4,8,0.46,0.4428,0.37252,0.678
2697,4,9,1.19,0.45669,0.37453,0.492
2698,4,10,0.02,0.4514,0.36598,-0.593
2699,4,11,-1.91,0.45653,0.36183,-0.556
2700,4,12,-3.41,0.4626,0.37334,-0.19
2701,4,13,-1.0,0.46526,0.36982,-0.157
2702,4,14,-1.87,0.43871,0.36944,-0.234
2703,4,15,-2.74,0.44143,0.37179,-0.247
2704,4,16,-2.95,0.45893,0.36185,-0.172
2705,4,17,-3.82,0.45563,0.36838,0.151
2706,4,18,-5.3,0.43541,0.36271,0.252
2707,4,19,-2.96,0.46835,0.37421,0.399
2708,4,20,-2.8,0.42806,0.37514,0.401
2709,4,21,-2.7,0.46272,0.36863,-0.414
2710,4,22,-2.74,0.4686,0.37642,-0.433
2711,4,23,-1.23,0.42642,0.36573,0.135
2712,4,0,-2.1,0.44756,0.36173,-0.093
2713,4,1,-0.17,0.43396,0.36262,-0.162
2714,4,2,0.37,0.45068,0.37031,-0.213
