timestamp_s,T_drybulb_C,RH_pct,CO2_ppm,illuminance_lux,occupancy,window_open,blind_angle_east,blind_angle_west,hvac_valve_pos,air_velocity_ms,globe_T_C,mean_rad_T_C,operative_T_C,comfort_class_int,comfort_class_str
1123,23.62,47.3,588.0,487.0,1,0,0.38,0.35,0.96,0.395,23.67,23.29,23.8,1,Cool
1124,22.34,51.0,576.0,693.0,1,1,0.98,0.33,0.1,0.131,22.93,21.85,22.74,2,Neutral
1125,26.3,38.6,718.0,528.0,1,1,0.45,0.53,0.53,0.386,26.1,26.04,25.87,1,Cool
1126,19.01,45.6,685.0,507.0,1,1,0.27,0.95,0.1,0.329,19.59,19.38,18.99,1,Cool
1127,22.58,39.2,606.0,231.0,1,1,0.73,0.78,0.59,0.242,22.62,22.89,22.65,0,Cold
1128,21.75,52.7,607.0,387.0,1,0,0.64,0.41,0.79,0.38,22.48,20.24,21.64,2,Neutral
1129,23.82,30.4,446.0,129.0,1,0,0.29,0.41,0.01,0.274,24.31,25.01,23.9,1,Cool
1130,19.52,36.9,400.0,20,0,0,0.11,0.55,0.8,0.084,20.21,20.02,19.37,2,Neutral
1131,20.95,34.9,530.0,501.0,1,1,0.09,0.92,0.95,0.199,20.69,23.2,20.57,2,Neutral
1132,24.27,53.4,400.0,20,0,1,0.75,0.81,0.95,0.282,23.21,24.17,24.3,2,Neutral
1133,18.01,59.4,400.0,20,0,1,0.08,0.89,0.13,0.201,17.46,17.18,17.87,4,Hot
1134,18.87,48.3,400.0,20,0,0,0.44,0.18,0.41,0.385,17.98,18.07,19.17,2,Neutral
1135,27.39,55.2,650.0,611.0,1,0,0.86,0.0,0.88,0.356,27.5,26.73,27.11,2,Neutral
1136,27.0,57.4,708.0,117.0,1,0,0.14,0.07,0.39,0.409,27.71,25.91,26.79,1,Cool
1137,24.84,32.0,400.0,20,0,0,0.56,0.55,0.72,0.234,24.79,24.82,24.99,2,Neutral
1138,24.92,43.7,400.0,20,0,1,0.55,0.71,0.79,0.407,25.09,26.07,24.55,3,Warm
1139,24.55,62.8,400.0,20,0,1,0.22,0.26,0.3,0.264,24.85,26.59,24.11,2,Neutral
1140,24.68,60.9,706.0,369.0,1,0,0.54,0.22,0.41,0.256,24.35,26.57,24.75,2,Neutral
1141,20.85,53.0,400.0,20,0,1,0.04,0.71,0.26,0.229,19.89,21.64,20.87,2,Neutral
1142,23.79,34.7,400.0,20,0,0,0.2,0.46,0.08,0.237,24.13,24.24,23.98,2,Neutral
1143,21.79,31.2,400.0,20,0,1,0.71,0.48,0.29,0.06,22.56,22.89,22.0,2,Neutral
1144,23.99,65.5,400.0,20,0,0,0.31,0.17,0.99,0.057,24.26,23.58,23.95,3,Warm
1145,22.98,65.1,603.0,341.0,1,1,0.15,0.8,0.9,0.287,22.69,22.29,22.21,2,Neutral
1146,23.43,30.9,723.0,534.0,1,1,0.7,0.72,0.87,0.283,23.67,22.22,23.42,3,Warm
1147,19.76,48.9,400.0,20,0,1,0.51,0.29,0.49,0.329,20.82,17.75,19.65,2,Neutral
1148,26.22,50.7,650.0,164.0,1,1,0.15,0.17,0.88,0.375,26.1,25.38,26.36,2,Neutral
1149,22.05,49.5,791.0,231.0,1,0,0.26,0.91,0.32,0.412,22.84,21.94,21.56,0,Cold
1150,18.58,61.8,400.0,20,0,1,0.55,0.61,0.99,0.304,18.85,17.85,18.22,2,Neutral
1151,25.1,63.0,626.0,473.0,1,0,0.75,0.25,0.56,0.328,25.04,25.23,24.91,2,Neutral
1152,20.46,39.1,400.0,20,0,0,0.87,0.08,0.77,0.365,20.1,20.97,20.77,2,Neutral
1153,22.71,37.9,400.0,20,0,1,0.39,0.39,0.27,0.419,22.73,23.21,22.35,2,Neutral
1154,20.18,40.7,400.0,20,0,0,0.11,0.79,0.47,0.435,18.84,19.8,20.56,1,Cool
1155,22.73,54.2,718.0,148.0,1,1,0.68,0.28,0.63,0.236,23.59,24.44,22.71,2,Neutral
1156,25.02,57.1,428.0,221.0,1,1,0.88,0.25,0.07,0.127,24.38,25.38,25.31,1,Cool
1157,24.2,52.5,500.0,553.0,1,1,0.54,0.94,0.64,0.083,25.36,24.84,23.61,3,Warm
1158,19.0,53.7,555.0,169.0,1,1,0.41,0.25,0.45,0.311,17.94,20.02,18.68,2,Neutral
1159,20.32,52.4,400.0,20,0,1,0.16,0.19,0.1,0.3,21.54,22.26,20.1,2,Neutral
1160,26.49,63.9,535.0,479.0,1,1,0.27,0.49,0.54,0.208,26.33,26.29,26.31,2,Neutral
1161,21.26,44.3,695.0,484.0,1,0,0.74,0.17,0.73,0.28,21.97,21.32,21.0,4,Hot
1162,20.79,41.4,400.0,20,0,1,0.67,0.04,0.35,0.231,20.6,21.63,20.64,2,Neutral
1163,26.95,68.2,400.0,20,0,1,0.57,0.07,0.26,0.414,26.62,26.72,26.44,2,Neutral
1164,23.2,47.4,490.0,607.0,1,1,0.13,0.27,0.4,0.112,23.33,23.63,23.36,0,Cold
1165,27.98,48.0,689.0,488.0,1,0,0.65,0.24,0.57,0.194,28.8,27.57,27.84,2,Neutral
1166,18.27,32.0,691.0,570.0,1,0,0.23,0.85,0.7,0.117,18.0,18.75,18.02,2,Neutral
1167,21.65,38.9,640.0,607.0,1,1,0.51,0.67,0.9,0.395,22.62,20.89,21.85,2,Neutral
1168,25.52,64.7,400.0,20,0,1,0.52,0.05,0.33,0.113,24.41,23.72,25.31,2,Neutral
1169,19.15,54.5,400.0,20,0,1,0.36,0.14,0.01,0.08,19.95,18.99,19.49,2,Neutral
1170,27.55,65.1,400.0,20,0,1,0.35,0.5,0.72,0.111,27.91,27.69,26.72,4,Hot
1171,23.04,59.9,400.0,20,0,1,0.7,0.67,0.95,0.295,23.25,24.97,22.89,2,Neutral
1172,20.56,55.1,400.0,20,0,0,0.24,0.89,0.74,0.144,20.94,18.48,20.75,2,Neutral
1173,20.09,51.6,496.0,448.0,1,0,0.59,0.22,0.6,0.384,21.09,20.16,20.19,2,Neutral
1174,18.72,65.4,764.0,230.0,1,0,0.4,0.82,0.69,0.157,18.14,19.25,18.69,2,Neutral
1175,21.98,40.9,400.0,20,0,1,0.87,0.67,0.29,0.421,22.53,20.81,22.05,4,Hot
1176,25.69,49.6,410.0,578.0,1,1,0.71,0.89,0.99,0.259,26.58,26.24,25.72,3,Warm
1177,22.98,58.9,400.0,20,0,0,0.84,0.37,0.56,0.139,22.85,22.79,23.5,2,Neutral
1178,25.44,66.7,400.0,20,0,1,0.96,0.27,0.14,0.167,26.1,24.32,25.09,2,Neutral
1179,23.11,67.7,400.0,20,0,1,0.22,0.98,0.51,0.307,22.74,24.09,22.13,0,Cold
1180,20.51,46.5,400.0,20,0,0,0.57,0.38,0.68,0.369,20.74,21.32,20.7,3,Warm
1181,25.53,59.8,676.0,185.0,1,1,0.7,0.0,0.97,0.098,24.72,25.71,25.63,4,Hot
1182,25.91,58.7,400.0,20,0,0,0.26,0.87,0.59,0.061,26.22,26.4,25.84,2,Neutral
1183,23.69,34.5,512.0,645.0,1,0,0.57,0.89,0.57,0.103,23.89,24.68,23.36,2,Neutral
1184,18.45,67.3,400.0,20,0,1,0.28,0.31,0.59,0.352,18.89,18.37,18.09,2,Neutral
1185,27.64,60.7,624.0,395.0,1,0,0.92,0.87,0.1,0.164,27.63,27.32,28.38,4,Hot
1186,26.62,61.1,591.0,148.0,1,0,0.66,0.97,0.17,0.107,26.69,26.0,26.88,2,Neutral
1187,20.07,67.8,761.0,477.0,1,1,0.58,0.35,0.64,0.125,19.5,20.34,19.59,2,Neutral
1188,21.86,50.0,400.0,20,0,1,0.21,0.19,0.77,0.254,21.29,24.18,21.74,3,Warm
1189,23.53,67.2,675.0,108.0,1,1,0.51,0.26,0.2,0.395,22.81,22.64,23.86,2,Neutral
1190,20.78,41.5,685.0,634.0,1,1,0.6,0.26,0.08,0.237,21.01,19.56,20.23,4,Hot
1191,27.52,41.3,531.0,260.0,1,1,0.8,0.86,0.57,0.261,27.0,28.43,27.35,2,Neutral
1192,21.49,63.9,400.0,20,0,0,0.1,0.69,0.48,0.068,20.89,19.56,21.17,2,Neutral
1193,19.94,62.2,771.0,290.0,1,0,0.72,0.13,0.09,0.245,19.66,19.49,20.27,2,Neutral
1194,26.36,39.5,676.0,244.0,1,1,0.81,0.24,0.43,0.416,25.59,27.5,26.04,2,Neutral
1195,21.76,68.6,400.0,20,0,0,0.4,0.06,0.12,0.311,20.84,21.74,21.72,2,Neutral
1196,24.06,44.3,400.0,20,0,1,0.55,0.04,0.52,0.097,24.1,25.67,24.46,3,Warm
1197,27.14,56.9,400.0,20,0,1,0.31,0.78,0.27,0.163,27.35,26.51,26.45,3,Warm
1198,21.59,59.8,400.0,20,0,0,0.49,0.93,0.54,0.402,21.5,20.63,21.53,1,Cool
1199,23.27,42.7,400.0,20,0,0,0.6,0.55,0.87,0.209,24.21,25.38,23.07,2,Neutral
1200,25.36,37.5,444.0,588.0,1,1,0.15,0.42,0.34,0.218,25.44,24.81,25.35,3,Warm
1201,20.33,30.2,743.0,230.0,1,1,0.6,0.77,0.54,0.227,20.34,17.64,20.84,2,Neutral
1202,21.17,47.4,767.0,559.0,1,0,0.08,0.26,0.18,0.386,20.61,19.87,20.7,2,Neutral
1203,27.99,34.8,400.0,20,0,1,0.31,0.47,0.56,0.367,28.44,28.56,29.11,2,Neutral
1204,18.04,60.5,782.0,204.0,1,1,0.43,0.43,0.42,0.122,17.74,16.72,17.76,2,Neutral
1205,25.23,56.4,400.0,20,0,1,0.31,0.64,0.77,0.069,25.74,23.63,25.26,0,Cold
1206,22.55,63.3,517.0,302.0,1,1,0.66,0.33,0.27,0.344,22.65,22.82,22.66,2,Neutral
1207,20.34,48.0,400.0,20,0,1,0.32,0.61,0.36,0.092,20.77,19.3,20.06,2,Neutral
1208,20.67,59.4,400.0,20,0,1,0.2,0.25,0.29,0.425,20.29,19.87,20.8,3,Warm
1209,25.75,39.1,470.0,449.0,1,0,0.36,0.29,0.17,0.286,26.3,25.42,26.01,2,Neutral
1210,22.48,45.6,400.0,20,0,1,0.97,0.35,0.39,0.094,22.11,21.98,22.5,0,Cold
1211,27.87,38.1,400.0,20,0,0,0.5,0.66,0.32,0.172,27.26,26.29,27.62,2,Neutral
1212,18.8,42.8,599.0,267.0,1,0,0.57,0.2,0.94,0.429,19.13,17.45,18.86,2,Neutral
1213,22.86,55.4,400.0,20,0,0,0.4,0.93,0.81,0.296,22.73,22.73,23.28,2,Neutral
1214,26.61,46.6,557.0,371.0,1,1,0.57,0.24,0.36,0.156,27.49,27.44,26.11,4,Hot
1215,22.39,66.0,400.0,20,0,1,0.86,0.71,0.28,0.183,22.47,22.66,22.82,2,Neutral
1216,27.41,30.3,424.0,326.0,1,1,0.46,0.3,0.62,0.247,27.97,27.2,27.05,2,Neutral
1217,19.21,65.8,400.0,20,0,1,0.01,0.58,0.24,0.385,19.13,19.12,20.11,2,Neutral
1218,25.94,44.7,759.0,200.0,1,0,0.38,0.89,0.61,0.29,27.05,26.58,25.56,2,Neutral
1219,18.62,51.9,400.0,20,0,0,0.96,0.32,0.54,0.302,18.05,18.01,19.16,2,Neutral
1220,24.0,32.0,774.0,420.0,1,1,0.6,0.7,0.21,0.446,24.07,22.67,23.9,2,Neutral
1221,27.99,54.9,752.0,288.0,1,1,0.63,0.36,0.16,0.245,26.85,27.46,27.62,2,Neutral
1222,18.7,30.9,400.0,20,0,1,0.07,0.93,0.75,0.339,19.46,16.8,19.24,1,Cool
1223,18.66,60.5,761.0,167.0,1,0,0.96,0.94,0.58,0.274,19.66,18.7,18.13,3,Warm
1224,27.76,39.6,400.0,20,0,0,0.13,0.8,0.49,0.141,28.08,27.76,27.63,3,Warm
1225,24.58,63.6,400.0,20,0,0,0.57,0.08,1.0,0.38,24.2,24.63,24.57,4,Hot
1226,25.98,38.4,400.0,20,0,0,0.4,0.86,0.78,0.237,25.18,24.94,26.48,2,Neutral
1227,24.45,33.8,400.0,20,0,1,0.53,0.28,0.91,0.232,23.87,23.87,24.12,2,Neutral
1228,21.91,30.8,400.0,20,0,1,0.29,0.76,0.25,0.116,21.04,23.0,21.69,2,Neutral
1229,27.21,53.2,541.0,210.0,1,1,0.22,0.54,0.7,0.198,27.17,27.07,27.45,1,Cool
1230,20.5,52.1,741.0,350.0,1,1,0.81,0.06,0.66,0.434,19.84,18.58,19.92,2,Neutral
1231,18.88,64.5,512.0,510.0,1,1,0.51,0.68,0.3,0.09,18.55,19.62,18.25,0,Cold
1232,25.89,33.4,400.0,20,0,1,0.06,0.59,0.59,0.127,25.54,25.75,25.34,1,Cool
1233,21.62,45.7,400.0,20,0,0,0.42,0.94,0.67,0.196,21.5,20.03,21.75,3,Warm
1234,22.72,35.2,400.0,20,0,0,0.86,0.2,0.68,0.209,22.19,22.97,22.98,2,Neutral
1235,27.27,67.8,606.0,413.0,1,1,0.83,0.03,0.94,0.305,25.8,27.22,27.15,2,Neutral
1236,24.18,53.9,400.0,20,0,0,0.41,0.58,0.78,0.104,24.53,25.05,24.24,3,Warm
1237,18.98,61.3,577.0,381.0,1,0,0.41,0.22,0.86,0.327,18.92,18.71,19.06,2,Neutral
1238,27.7,54.2,400.0,20,0,1,0.61,0.03,0.9,0.407,28.38,28.86,28.42,2,Neutral
1239,27.7,67.9,425.0,231.0,1,0,0.92,0.28,0.84,0.305,29.84,27.01,27.69,0,Cold
1240,26.04,52.8,653.0,203.0,1,1,0.76,0.02,0.48,0.34,26.3,27.22,25.47,2,Neutral
1241,19.24,45.9,400.0,20,0,1,0.12,0.53,0.69,0.208,19.92,19.16,19.16,0,Cold
1242,26.43,49.4,400.0,20,0,0,0.37,0.69,0.65,0.189,26.35,25.84,26.1,2,Neutral
1243,23.8,44.5,400.0,20,0,0,0.48,0.98,0.09,0.149,24.3,23.26,23.75,2,Neutral
1244,26.18,57.3,490.0,410.0,1,0,0.9,0.08,0.87,0.106,26.26,26.32,26.37,2,Neutral
1245,18.9,41.2,680.0,270.0,1,0,0.38,0.93,0.93,0.144,19.3,19.67,18.9,2,Neutral
1246,23.85,52.5,548.0,306.0,1,0,0.62,0.77,0.88,0.426,23.47,23.67,24.0,2,Neutral
1247,18.27,64.4,612.0,222.0,1,1,0.26,0.74,0.65,0.334,19.06,17.81,18.59,2,Neutral
1248,23.91,39.9,467.0,266.0,1,0,0.27,0.91,0.83,0.08,23.28,25.58,23.03,2,Neutral
1249,20.32,35.4,400.0,20,0,0,0.43,0.49,0.55,0.112,21.27,19.55,20.65,2,Neutral
1250,18.84,32.3,738.0,292.0,1,0,0.95,0.65,0.6,0.337,19.09,20.75,18.93,2,Neutral
1251,26.9,49.7,638.0,607.0,1,1,0.73,0.52,0.28,0.372,26.18,27.86,26.91,2,Neutral
1252,24.89,53.2,761.0,640.0,1,1,0.46,0.22,0.04,0.375,24.02,24.84,24.71,1,Cool
1253,24.71,32.8,400.0,20,0,1,0.7,0.5,0.34,0.169,23.96,24.17,24.38,2,Neutral
1254,19.98,64.8,416.0,165.0,1,1,0.27,0.9,0.86,0.12,19.76,20.79,19.17,3,Warm
1255,19.88,49.0,400.0,20,0,0,0.94,0.47,0.29,0.248,19.08,18.7,20.06,2,Neutral
1256,21.1,33.1,400.0,20,0,1,0.08,0.85,0.34,0.235,20.87,21.3,21.02,2,Neutral
1257,21.74,67.4,400.0,20,0,1,0.96,0.25,0.02,0.148,23.0,22.8,21.14,1,Cool
1258,18.84,34.9,400.0,20,0,1,0.68,0.93,0.55,0.424,18.66,19.25,18.78,3,Warm
1259,19.07,60.6,483.0,523.0,1,1,0.86,0.86,0.93,0.376,19.71,20.57,18.77,4,Hot
1260,25.34,64.5,495.0,152.0,1,1,0.63,0.64,0.29,0.398,25.24,25.6,25.57,2,Neutral
1261,20.62,33.6,570.0,464.0,1,1,0.13,0.97,0.97,0.348,19.48,20.76,20.88,2,Neutral
1262,23.13,35.3,594.0,212.0,1,1,0.38,0.47,0.08,0.186,24.07,22.77,23.42,3,Warm
1263,25.56,58.7,531.0,565.0,1,0,0.5,0.88,0.56,0.138,25.29,27.88,26.32,2,Neutral
1264,18.88,59.0,480.0,604.0,1,0,0.49,0.63,0.83,0.241,19.58,18.5,18.83,3,Warm
1265,27.13,31.9,536.0,384.0,1,0,0.18,0.83,0.72,0.438,26.86,27.6,27.5,2,Neutral
1266,20.59,64.2,410.0,558.0,1,1,0.22,0.09,0.73,0.325,19.17,20.26,20.47,2,Neutral
1267,20.67,61.2,400.0,20,0,0,0.73,0.61,0.64,0.119,21.49,20.46,20.87,2,Neutral
1268,25.51,30.4,499.0,608.0,1,0,0.66,0.86,0.01,0.063,25.42,24.48,25.7,1,Cool
1269,20.02,35.5,400.0,20,0,1,0.62,0.55,0.97,0.445,19.38,20.27,19.91,2,Neutral
1270,20.65,49.9,747.0,248.0,1,0,0.88,0.38,0.79,0.052,21.56,20.94,20.46,2,Neutral
1271,25.15,50.7,400.0,20,0,0,0.88,0.49,0.49,0.311,24.5,25.01,25.14,3,Warm
1272,21.58,59.9,655.0,127.0,1,1,0.15,0.25,0.44,0.174,21.98,21.18,21.25,2,Neutral
1273,20.25,54.2,525.0,351.0,1,1,0.94,0.25,0.27,0.054,19.88,20.73,19.92,0,Cold
1274,27.1,64.7,400.0,20,0,1,0.33,0.49,0.22,0.283,27.39,26.21,27.3,2,Neutral
1275,24.86,62.3,400.0,20,0,0,0.17,0.58,0.73,0.175,25.61,23.39,25.17,2,Neutral
1276,24.76,36.8,722.0,690.0,1,0,0.17,0.96,0.05,0.432,25.5,24.49,24.63,2,Neutral
1277,22.28,46.6,436.0,694.0,1,1,0.05,0.11,0.67,0.103,23.02,21.89,22.14,3,Warm
1278,22.07,52.5,616.0,679.0,1,0,0.37,0.98,0.79,0.319,20.99,22.53,21.88,2,Neutral
1279,26.23,50.2,400.0,20,0,0,0.24,0.54,0.96,0.426,26.76,25.54,26.23,1,Cool
1280,21.04,69.6,478.0,172.0,1,1,0.36,0.99,0.31,0.32,22.0,19.9,21.03,2,Neutral
1281,25.27,61.6,400.0,20,0,0,0.81,0.89,1.0,0.353,25.61,24.19,25.49,2,Neutral
1282,18.33,51.9,510.0,400.0,1,0,0.06,0.63,0.67,0.407,17.71,18.82,18.74,0,Cold
1283,25.16,58.3,740.0,679.0,1,1,0.29,0.2,0.19,0.149,25.09,25.47,25.23,2,Neutral
1284,25.98,64.4,400.0,20,0,1,0.94,0.53,0.94,0.287,25.78,26.37,25.25,2,Neutral
1285,23.12,37.8,739.0,678.0,1,1,0.46,0.96,0.05,0.228,23.55,22.55,23.21,3,Warm
1286,18.44,38.6,400.0,20,0,1,0.99,0.09,0.43,0.133,18.61,19.7,18.29,2,Neutral
1287,21.87,47.2,798.0,164.0,1,1,0.89,0.62,0.71,0.381,21.93,21.31,22.09,1,Cool
1288,21.39,61.3,777.0,639.0,1,1,0.5,0.46,0.48,0.305,21.78,21.09,21.63,0,Cold
1289,23.44,30.5,768.0,647.0,1,0,0.71,0.52,0.29,0.131,22.23,22.87,23.86,3,Warm
1290,20.49,50.8,588.0,583.0,1,0,0.04,0.95,0.87,0.054,21.63,20.97,20.33,2,Neutral
1291,21.58,32.2,586.0,549.0,1,1,0.91,0.3,0.28,0.402,21.19,20.85,21.13,2,Neutral
1292,22.44,43.8,615.0,352.0,1,1,0.49,0.69,0.04,0.186,23.19,23.66,22.9,2,Neutral
1293,23.61,52.1,737.0,208.0,1,1,0.63,0.27,0.61,0.152,23.93,24.53,23.74,2,Neutral
1294,25.02,41.5,400.0,20,0,0,0.78,1.0,0.5,0.276,24.99,25.99,25.42,2,Neutral
1295,21.31,36.9,738.0,557.0,1,1,0.22,0.14,0.8,0.366,21.73,22.85,21.59,2,Neutral
1296,22.91,44.8,400.0,20,0,1,0.63,0.8,0.99,0.422,23.16,24.08,23.24,2,Neutral
1297,25.26,65.2,604.0,290.0,1,1,0.91,0.62,0.69,0.223,25.58,25.6,25.29,1,Cool
1298,25.35,69.1,400.0,20,0,1,0.73,0.64,0.28,0.256,24.81,25.98,24.6,2,Neutral
1299,18.79,35.4,579.0,320.0,1,1,0.33,0.49,0.86,0.103,18.6,18.64,19.64,2,Neutral
1300,20.18,31.9,400.0,20,0,0,0.95,0.17,0.94,0.193,20.41,19.72,20.3,1,Cool
1301,21.6,49.1,587.0,569.0,1,0,0.2,0.48,0.04,0.373,21.68,21.31,21.59,2,Neutral
1302,18.89,54.8,400.0,20,0,1,0.78,0.15,0.68,0.433,18.18,19.45,19.48,2,Neutral
1303,19.28,66.9,571.0,319.0,1,1,0.08,0.15,0.49,0.251,20.61,18.74,19.43,2,Neutral
1304,23.64,66.6,417.0,506.0,1,0,0.93,0.54,0.17,0.35,23.46,24.24,24.52,1,Cool
1305,19.33,48.3,400.0,20,0,1,0.86,0.02,0.23,0.111,19.88,18.3,18.72,3,Warm
1306,19.47,60.9,400.0,20,0,0,0.67,0.87,0.51,0.202,19.33,19.82,19.74,2,Neutral
1307,19.52,62.9,400.0,20,0,0,0.41,0.37,0.72,0.116,19.74,18.22,19.61,2,Neutral
1308,18.7,66.0,637.0,252.0,1,0,0.72,0.63,0.26,0.152,18.27,18.18,18.95,4,Hot
1309,26.68,68.1,675.0,272.0,1,1,0.55,0.59,0.51,0.086,26.6,27.4,26.39,3,Warm
1310,18.86,38.2,465.0,479.0,1,1,0.52,0.25,0.56,0.094,18.4,18.71,18.56,2,Neutral
1311,19.92,36.3,400.0,20,0,1,0.18,0.39,0.17,0.411,20.03,19.66,19.44,2,Neutral
1312,22.87,34.4,400.0,20,0,1,0.84,0.12,0.61,0.098,22.48,22.55,22.21,2,Neutral
1313,20.93,59.0,400.0,20,0,0,0.38,0.64,0.91,0.441,20.99,20.65,20.92,2,Neutral
1314,20.32,39.9,749.0,284.0,1,1,0.48,0.15,0.86,0.154,20.36,19.86,19.45,4,Hot
1315,25.94,69.6,400.0,20,0,0,0.76,0.46,0.57,0.186,25.95,28.06,25.98,2,Neutral
1316,27.77,56.7,679.0,239.0,1,0,0.95,0.65,0.37,0.389,27.99,26.53,28.7,1,Cool
1317,20.08,41.1,552.0,117.0,1,1,0.61,0.59,0.92,0.206,20.65,21.4,19.92,2,Neutral
1318,26.1,32.3,400.0,20,0,0,0.3,0.9,0.8,0.44,25.97,25.55,25.75,0,Cold
1319,21.93,66.2,587.0,403.0,1,1,0.58,0.81,0.55,0.382,21.18,21.45,21.75,2,Neutral
1320,22.99,53.4,400.0,20,0,1,0.11,0.28,0.33,0.384,22.55,21.78,23.26,2,Neutral
1321,19.6,50.7,436.0,247.0,1,0,0.58,0.94,0.09,0.358,18.55,18.6,19.85,3,Warm
1322,19.33,60.8,546.0,322.0,1,1,0.8,0.65,0.72,0.27,19.74,21.09,18.88,2,Neutral
1323,19.2,49.8,400.0,20,0,0,0.38,0.8,0.05,0.117,18.74,19.54,19.16,2,Neutral
1324,21.76,65.8,400.0,20,0,0,0.45,0.78,0.68,0.245,21.93,21.9,21.66,2,Neutral
1325,20.85,68.3,722.0,589.0,1,0,0.7,0.46,0.61,0.108,20.16,20.34,21.16,2,Neutral
1326,18.89,59.2,400.0,20,0,1,0.08,0.6,0.74,0.162,17.85,17.51,18.95,4,Hot
1327,24.41,35.1,400.0,20,0,0,0.42,0.84,0.96,0.141,24.24,24.3,24.18,2,Neutral
1328,21.64,62.5,400.0,20,0,0,0.74,0.19,0.83,0.229,22.74,21.14,20.96,2,Neutral
1329,22.34,60.5,400.0,20,0,1,0.14,0.81,0.69,0.358,21.26,20.24,22.58,1,Cool
1330,18.03,47.7,400.0,20,0,1,0.71,0.21,0.25,0.203,17.48,18.07,18.09,3,Warm
1331,20.45,33.7,680.0,380.0,1,1,0.82,0.24,0.4,0.429,20.97,20.31,20.31,3,Warm
1332,19.23,31.7,631.0,516.0,1,1,0.63,0.62,0.93,0.385,18.76,19.82,19.24,2,Neutral
1333,22.04,68.4,400.0,20,0,0,0.28,0.61,0.91,0.204,21.49,22.03,21.65,3,Warm
1334,18.9,42.0,400.0,20,0,1,0.34,0.35,0.28,0.22,18.1,17.76,18.67,1,Cool
1335,23.63,63.8,400.0,20,0,1,0.59,0.5,0.99,0.185,22.87,24.76,23.77,2,Neutral
1336,21.03,42.3,533.0,540.0,1,1,0.2,0.51,0.04,0.369,21.33,20.83,20.69,4,Hot
1337,19.09,45.1,400.0,20,0,0,0.71,0.2,0.02,0.123,18.27,18.32,18.94,2,Neutral
1338,19.33,59.7,643.0,416.0,1,1,0.67,0.74,0.17,0.441,19.04,20.36,18.73,2,Neutral
1339,25.08,34.1,461.0,360.0,1,0,0.4,0.63,0.01,0.408,25.08,24.14,25.25,3,Warm
1340,23.52,40.1,736.0,123.0,1,0,0.12,0.67,0.21,0.228,23.03,23.89,23.39,3,Warm
1341,22.74,51.2,400.0,20,0,0,0.52,0.33,0.68,0.438,22.24,20.86,22.78,3,Warm
1342,23.18,49.9,400.0,20,0,0,0.03,0.55,0.33,0.063,23.29,20.68,23.5,3,Warm
1343,21.21,43.9,400.0,20,0,0,0.68,0.86,0.7,0.148,20.6,20.5,21.19,2,Neutral
1344,18.33,41.6,501.0,313.0,1,1,0.36,0.13,0.47,0.159,18.84,17.32,18.36,1,Cool
1345,27.19,42.0,400.0,20,0,1,0.79,0.91,0.28,0.08,27.98,29.17,27.41,2,Neutral
1346,25.8,38.8,400.0,20,0,1,0.76,0.18,0.65,0.335,26.38,25.12,26.45,2,Neutral
1347,24.71,61.2,528.0,462.0,1,0,0.58,0.22,0.49,0.398,24.63,25.46,24.24,2,Neutral
1348,26.53,54.5,430.0,306.0,1,1,0.37,0.59,0.05,0.278,28.04,27.75,26.61,2,Neutral
1349,23.25,43.4,400.0,20,0,0,0.58,0.8,0.61,0.302,22.34,23.27,23.28,2,Neutral
1350,27.52,55.9,400.0,20,0,1,0.57,0.25,0.14,0.333,25.84,28.72,28.0,4,Hot
1351,18.96,39.2,400.0,20,0,0,0.42,0.19,0.11,0.054,19.57,18.52,18.92,2,Neutral
1352,26.9,34.2,400.0,20,0,0,0.3,0.03,0.56,0.423,26.72,27.68,27.26,2,Neutral
1353,19.47,54.7,400.0,20,0,0,0.54,0.0,0.33,0.344,19.78,18.17,19.19,2,Neutral
1354,24.3,64.7,459.0,643.0,1,0,0.61,0.04,0.48,0.133,24.41,25.53,25.12,2,Neutral
1355,19.42,47.7,400.0,20,0,1,0.12,0.45,0.98,0.396,18.76,20.42,19.4,2,Neutral
1356,24.83,34.4,476.0,162.0,1,0,0.32,0.6,0.13,0.153,24.38,23.79,25.55,2,Neutral
1357,20.85,64.9,473.0,313.0,1,0,0.53,0.26,0.67,0.179,20.59,22.54,21.44,2,Neutral
1358,23.52,50.9,400.0,20,0,0,0.14,0.11,0.44,0.395,23.67,22.29,23.12,2,Neutral
1359,27.01,48.5,400.0,20,0,1,0.58,0.54,0.54,0.297,25.73,27.85,26.92,2,Neutral
1360,24.6,52.3,400.0,20,0,0,0.52,0.66,0.07,0.354,24.45,24.59,24.34,3,Warm
1361,24.8,51.7,400.0,20,0,0,0.36,0.78,0.8,0.39,24.88,25.25,24.49,2,Neutral
1362,21.99,46.5,400.0,20,0,1,0.29,0.77,0.73,0.398,21.39,21.59,21.76,2,Neutral
1363,24.34,33.9,517.0,286.0,1,0,0.18,0.28,0.69,0.203,25.38,25.9,24.31,2,Neutral
1364,27.09,55.2,794.0,427.0,1,1,0.51,0.47,0.01,0.318,26.28,27.94,27.25,3,Warm
1365,27.22,57.4,400.0,20,0,1,0.02,0.59,0.18,0.186,28.32,27.41,27.13,3,Warm
1366,24.39,45.8,400.0,20,0,1,0.72,0.31,0.24,0.234,23.68,24.21,23.93,2,Neutral
