episode,total_return,energy_reward,comfort_reward,ppd_penalty,epsilon,mean_kappa_snn,ashrae_compliance_pct,mean_ppd_pct,steps
353,75.6,26.5,149.8,-120.3,0.329,0.763,86.5,16.5,8760
354,80.0,31.9,134.6,-121.6,0.327,0.765,87.6,17.1,8760
355,56.0,45.0,146.0,-114.9,0.326,0.759,87.0,17.3,8760
356,81.3,38.0,151.1,-121.3,0.324,0.751,86.8,17.4,8760
357,64.5,38.2,156.1,-123.7,0.322,0.746,86.3,16.9,8760
358,61.4,39.9,148.2,-119.8,0.32,0.734,85.1,16.8,8760
359,42.6,38.4,143.8,-107.0,0.318,0.809,86.3,16.5,8760
360,80.6,42.0,132.3,-127.1,0.316,0.75,87.0,17.0,8760
361,82.0,27.7,127.1,-116.6,0.314,0.747,84.5,16.7,8760
362,79.2,33.2,142.3,-120.6,0.312,0.756,85.1,16.0,8760
363,76.4,35.6,147.6,-124.0,0.31,0.76,84.3,16.7,8760
364,87.8,26.9,141.9,-118.7,0.308,0.789,86.0,16.0,8760
365,47.5,34.9,163.2,-118.9,0.306,0.764,86.8,16.5,8760
366,61.9,38.7,149.0,-119.9,0.305,0.745,87.8,17.1,8760
367,65.5,39.8,143.5,-123.1,0.303,0.749,84.7,16.9,8760
368,50.6,28.8,131.1,-120.3,0.301,0.762,86.2,15.7,8760
369,59.0,37.5,143.6,-118.7,0.299,0.747,86.7,17.5,8760
370,80.6,33.3,150.4,-121.0,0.297,0.765,86.2,16.4,8760
371,76.6,30.5,140.5,-125.6,0.295,0.733,85.3,16.6,8760
372,63.8,38.3,149.2,-127.9,0.293,0.779,87.4,15.7,8760
373,80.1,31.6,150.0,-125.1,0.291,0.73,86.2,16.4,8760
374,70.7,30.1,146.3,-118.9,0.289,0.765,86.7,15.9,8760
375,90.1,30.4,153.7,-115.3,0.288,0.776,86.4,16.0,8760
376,88.9,29.3,142.3,-121.6,0.286,0.791,87.0,15.7,8760
377,73.2,33.5,144.7,-116.1,0.284,0.739,88.2,17.1,8760
378,90.5,34.5,149.5,-125.7,0.282,0.756,87.1,17.4,8760
379,64.6,35.1,149.7,-125.6,0.28,0.779,85.9,16.2,8760
380,73.0,33.2,151.2,-120.9,0.278,0.76,85.9,16.7,8760
381,98.7,38.0,159.5,-125.6,0.276,0.77,85.5,15.2,8760
382,70.5,43.5,159.4,-119.0,0.274,0.737,86.4,16.6,8760
383,81.9,28.5,145.0,-120.3,0.272,0.778,84.4,16.2,8760
384,82.0,42.1,157.9,-117.7,0.27,0.752,84.7,16.0,8760
385,92.8,45.0,158.4,-118.3,0.269,0.776,86.1,16.2,8760
386,101.3,33.5,165.9,-121.3,0.267,0.795,85.2,16.8,8760
387,72.9,31.3,155.0,-116.0,0.265,0.752,85.2,16.3,8760
388,81.2,41.3,161.1,-120.2,0.263,0.806,86.9,16.0,8760
389,63.3,37.4,151.1,-116.2,0.261,0.778,85.5,16.5,8760
390,91.2,46.6,161.2,-117.0,0.259,0.77,87.1,17.3,8760
391,67.6,37.4,148.2,-118.5,0.257,0.794,86.1,14.4,8760
392,79.1,43.9,159.0,-118.3,0.255,0.764,85.4,16.7,8760
393,74.5,50.4,159.5,-122.3,0.253,0.758,86.6,16.1,8760
394,98.4,40.6,149.4,-112.4,0.251,0.771,87.5,15.8,8760
395,89.9,41.4,140.4,-111.9,0.25,0.796,86.3,15.4,8760
396,90.1,40.4,158.7,-119.2,0.248,0.78,88.2,16.7,8760
397,73.8,47.0,169.2,-107.4,0.246,0.748,87.0,14.6,8760
398,93.5,37.6,171.8,-123.1,0.244,0.737,86.3,14.7,8760
399,96.4,30.2,156.9,-128.3,0.242,0.765,88.4,16.5,8760
400,77.5,40.5,157.1,-118.1,0.24,0.744,87.3,14.1,8760
401,80.7,38.4,162.3,-119.9,0.238,0.743,85.8,16.4,8760
402,87.8,38.1,153.7,-117.2,0.236,0.761,86.7,17.9,8760
403,72.1,31.9,164.0,-122.7,0.234,0.765,86.0,16.0,8760
404,108.8,45.4,165.0,-125.7,0.232,0.749,83.9,15.5,8760
405,101.6,44.1,156.6,-120.1,0.231,0.758,87.0,16.8,8760
406,71.2,43.2,166.1,-121.7,0.229,0.786,89.6,16.1,8760
407,95.8,38.2,160.3,-118.2,0.227,0.776,85.8,16.3,8760
408,109.0,44.3,166.9,-120.9,0.225,0.788,87.1,15.4,8760
409,95.8,37.3,154.4,-119.2,0.223,0.779,85.6,17.0,8760
410,99.3,38.9,147.4,-120.6,0.221,0.764,86.9,15.8,8760
411,68.8,40.6,157.5,-117.5,0.219,0.759,88.5,14.6,8760
412,109.0,41.6,167.1,-119.7,0.217,0.796,86.4,15.2,8760
413,110.8,42.3,162.3,-115.1,0.215,0.753,87.4,15.6,8760
414,92.6,43.4,148.8,-123.1,0.213,0.801,87.7,16.0,8760
415,97.6,41.8,171.9,-120.8,0.212,0.779,88.0,15.5,8760
416,113.8,35.8,174.4,-121.5,0.21,0.769,85.0,15.7,8760
417,83.1,40.6,160.5,-116.2,0.208,0.779,87.2,15.2,8760
418,85.4,52.8,156.0,-113.4,0.206,0.77,86.9,16.9,8760
419,111.7,43.4,159.1,-120.2,0.204,0.782,87.8,16.1,8760
420,104.3,52.3,165.5,-118.8,0.202,0.745,84.2,16.4,8760
421,96.2,41.7,164.7,-120.2,0.2,0.798,87.0,15.4,8760
422,109.7,43.3,167.2,-121.9,0.198,0.762,87.0,16.0,8760
423,104.0,43.3,148.6,-121.7,0.196,0.791,86.6,15.8,8760
424,110.5,41.2,151.2,-120.6,0.194,0.766,85.9,15.9,8760
425,105.0,44.9,166.3,-112.7,0.193,0.769,87.2,15.6,8760
426,89.4,42.2,160.2,-118.6,0.191,0.823,86.2,15.7,8760
427,99.3,47.2,166.4,-114.9,0.189,0.728,84.5,15.6,8760
428,113.6,37.6,140.5,-117.7,0.187,0.781,85.8,15.2,8760
429,89.3,46.2,159.9,-118.0,0.185,0.72,86.1,15.1,8760
430,98.3,43.1,171.5,-127.4,0.183,0.778,87.5,17.4,8760
431,96.0,47.5,151.0,-129.6,0.181,0.794,86.9,16.9,8760
432,85.7,48.7,180.6,-118.3,0.179,0.783,87.0,14.7,8760
433,118.9,43.2,170.0,-126.3,0.177,0.754,88.4,15.7,8760
434,120.5,46.0,151.5,-116.4,0.175,0.766,87.7,15.9,8760
435,85.0,47.4,184.0,-118.0,0.173,0.777,88.1,16.1,8760
436,106.5,41.3,168.6,-115.9,0.172,0.761,88.4,15.8,8760
437,93.7,51.9,164.7,-117.0,0.17,0.772,86.9,16.3,8760
438,108.3,37.1,158.3,-116.3,0.168,0.776,86.5,14.8,8760
439,92.3,37.1,166.7,-122.4,0.166,0.759,86.9,16.2,8760
440,130.8,39.8,177.1,-116.1,0.164,0.763,87.2,15.5,8760
441,108.3,55.1,172.9,-118.0,0.162,0.77,85.5,15.7,8760
442,121.0,40.1,159.9,-119.5,0.16,0.759,86.2,15.5,8760
443,90.6,43.0,174.2,-125.2,0.158,0.747,86.4,16.4,8760
444,105.0,45.7,169.2,-127.0,0.156,0.789,87.4,15.5,8760
445,119.9,42.6,178.1,-119.4,0.155,0.773,87.0,15.8,8760
446,122.9,43.0,163.3,-115.9,0.153,0.768,87.9,17.2,8760
447,103.9,51.9,160.4,-117.0,0.151,0.784,87.5,15.3,8760
448,89.2,51.2,153.4,-121.3,0.149,0.799,87.3,17.4,8760
449,121.8,45.6,170.4,-120.2,0.147,0.749,86.1,15.4,8760
450,85.5,49.2,168.4,-126.7,0.145,0.789,87.8,16.0,8760
451,106.5,52.1,176.1,-118.8,0.143,0.764,87.4,16.7,8760
452,103.6,59.8,166.7,-119.9,0.141,0.767,87.3,14.4,8760
453,104.7,44.0,172.3,-116.0,0.139,0.794,84.7,17.4,8760
454,115.2,45.8,172.7,-119.3,0.137,0.768,87.3,15.3,8760
455,107.2,46.4,160.2,-119.4,0.136,0.793,87.6,16.4,8760
456,116.4,47.3,178.7,-125.4,0.134,0.764,86.1,16.6,8760
457,124.2,52.5,180.8,-123.5,0.132,0.789,87.0,16.4,8760
458,111.9,48.3,176.8,-116.5,0.13,0.769,87.1,14.9,8760
459,83.8,51.4,177.6,-119.0,0.128,0.743,86.8,14.0,8760
460,130.6,45.2,183.0,-116.2,0.126,0.764,86.0,16.0,8760
461,104.4,51.3,169.4,-127.1,0.124,0.738,87.4,15.3,8760
462,108.3,54.4,182.9,-121.1,0.122,0.776,87.6,14.6,8760
463,118.1,53.8,179.2,-127.7,0.12,0.768,86.3,15.8,8760
464,121.6,58.7,170.0,-122.0,0.118,0.806,87.5,16.7,8760
465,119.7,45.6,163.6,-126.2,0.117,0.796,88.4,17.2,8760
466,126.8,57.3,169.8,-124.6,0.115,0.8,87.6,15.8,8760
467,121.7,53.3,185.0,-114.8,0.113,0.794,88.0,16.1,8760
468,111.9,55.6,163.8,-115.8,0.111,0.76,87.5,15.0,8760
469,124.5,51.8,162.5,-118.3,0.109,0.772,88.1,15.6,8760
470,123.0,47.3,170.8,-121.8,0.107,0.801,88.9,15.0,8760
471,131.6,41.4,166.2,-123.8,0.105,0.757,85.6,16.0,8760
472,116.5,54.3,181.5,-118.9,0.103,0.798,87.1,14.7,8760
473,132.2,49.6,168.8,-120.7,0.101,0.766,86.8,15.9,8760
474,124.1,48.3,172.6,-115.7,0.099,0.795,89.3,16.6,8760
475,134.0,46.0,182.8,-120.2,0.098,0.774,87.4,16.4,8760
476,126.7,48.7,182.9,-122.6,0.096,0.789,86.9,15.4,8760
477,130.3,48.0,192.8,-127.3,0.094,0.773,87.6,16.1,8760
478,120.3,53.1,180.8,-120.9,0.092,0.813,88.1,16.3,8760
479,110.3,53.1,175.3,-124.0,0.09,0.793,86.7,16.1,8760
480,109.5,62.3,170.8,-119.1,0.088,0.802,86.7,16.2,8760
481,108.0,61.1,178.3,-122.4,0.086,0.78,88.1,15.1,8760
482,114.1,52.9,169.0,-112.7,0.084,0.775,88.1,15.7,8760
483,111.7,54.1,185.0,-120.8,0.082,0.81,88.3,16.3,8760
484,118.4,48.9,174.0,-119.2,0.08,0.797,85.1,15.5,8760
485,126.2,53.0,189.5,-118.3,0.079,0.813,87.1,16.3,8760
486,144.3,61.1,170.7,-121.0,0.077,0.78,87.8,16.1,8760
487,115.1,55.0,163.5,-114.2,0.075,0.777,87.4,15.3,8760
488,139.3,40.7,179.8,-120.4,0.073,0.778,89.0,14.8,8760
489,135.2,56.8,190.3,-122.7,0.071,0.773,88.4,15.8,8760
490,107.8,52.5,183.5,-116.6,0.069,0.774,84.4,15.9,8760
491,112.1,45.2,158.0,-116.7,0.067,0.79,87.1,16.6,8760
492,134.8,63.5,169.8,-120.1,0.065,0.755,87.1,15.3,8760
493,135.0,55.8,186.1,-117.2,0.063,0.831,87.0,14.7,8760
494,130.8,51.7,193.2,-121.1,0.061,0.777,86.9,16.0,8760
495,126.4,52.7,194.9,-123.4,0.059,0.789,88.0,14.1,8760
496,134.4,50.8,188.4,-123.9,0.058,0.802,88.5,16.1,8760
497,132.1,55.0,177.5,-114.1,0.056,0.775,86.3,16.0,8760
498,119.9,51.6,170.8,-121.9,0.054,0.787,87.6,16.2,8760
499,136.2,55.5,181.0,-118.0,0.052,0.814,87.5,15.0,8760
500,118.3,49.4,188.2,-117.7,0.05,0.801,87.3,16.5,8760
501,124.8,61.5,182.8,-122.4,0.05,0.801,87.8,15.7,8760
502,132.0,56.7,202.4,-115.3,0.05,0.804,87.5,16.2,8760
503,137.6,57.2,181.1,-120.3,0.05,0.726,87.6,15.0,8760
504,150.9,57.3,174.3,-120.2,0.05,0.769,87.9,15.6,8760
505,143.7,53.4,184.3,-125.5,0.05,0.804,87.9,15.8,8760
506,132.6,59.6,197.1,-121.1,0.05,0.793,86.3,14.7,8760
507,134.1,63.2,182.4,-120.9,0.05,0.782,86.9,15.6,8760
508,115.3,64.2,179.4,-117.1,0.05,0.765,88.1,15.9,8760
509,138.3,53.0,187.0,-124.7,0.05,0.785,88.5,16.0,8760
510,134.3,53.2,190.4,-119.9,0.05,0.744,88.2,15.3,8760
511,148.9,52.7,160.0,-118.9,0.05,0.797,85.8,14.5,8760
512,167.9,56.8,191.5,-122.6,0.05,0.749,87.3,15.1,8760
513,130.4,57.9,188.0,-120.6,0.05,0.766,87.9,13.8,8760
514,111.0,62.3,190.2,-120.2,0.05,0.763,86.8,15.1,8760
515,116.8,55.1,191.6,-114.3,0.05,0.783,88.2,13.8,8760
516,144.3,54.9,189.1,-121.0,0.05,0.818,86.6,15.8,8760
517,133.4,58.3,185.4,-123.4,0.05,0.791,87.4,15.5,8760
518,138.1,63.2,194.4,-124.2,0.05,0.809,86.3,15.7,8760
519,144.9,49.8,188.0,-121.9,0.05,0.777,88.8,14.7,8760
520,128.2,59.9,193.0,-120.6,0.05,0.816,88.0,13.5,8760
521,131.9,56.8,191.6,-130.5,0.05,0.843,88.0,15.4,8760
522,152.8,71.5,194.9,-116.2,0.05,0.795,87.4,14.9,8760
523,129.1,56.5,177.4,-120.3,0.05,0.759,87.7,15.2,8760
524,141.1,57.4,213.1,-114.6,0.05,0.768,87.8,14.7,8760
525,127.5,53.5,192.1,-122.7,0.05,0.812,88.5,16.3,8760
526,129.9,62.7,194.0,-121.9,0.05,0.778,89.1,15.4,8760
527,148.1,56.4,179.4,-122.3,0.05,0.791,86.5,15.2,8760
528,120.6,55.0,194.7,-117.6,0.05,0.786,86.5,14.4,8760
529,136.7,64.0,197.0,-122.0,0.05,0.771,87.8,14.5,8760
530,135.4,67.5,196.4,-119.4,0.05,0.768,87.8,16.0,8760
531,137.4,67.8,200.4,-113.3,0.05,0.8,88.1,16.3,8760
532,147.7,58.7,186.7,-119.0,0.05,0.768,87.4,16.0,8760
533,116.4,69.0,199.5,-121.8,0.05,0.805,87.6,16.1,8760
534,154.8,54.4,195.4,-120.8,0.05,0.796,86.8,16.6,8760
535,155.9,57.9,180.3,-121.5,0.05,0.803,87.8,16.2,8760
536,153.2,66.6,193.8,-125.6,0.05,0.791,88.6,15.1,8760
537,150.2,60.3,183.2,-120.5,0.05,0.801,86.9,14.9,8760
538,133.2,67.6,189.3,-114.2,0.05,0.826,87.5,14.3,8760
539,119.8,54.8,180.9,-114.5,0.05,0.797,88.0,13.3,8760
540,130.8,66.7,194.4,-120.6,0.05,0.807,89.2,14.9,8760
541,146.4,63.4,211.4,-128.4,0.05,0.809,87.5,15.6,8760
542,138.1,62.3,198.2,-107.5,0.05,0.812,86.8,14.8,8760
543,140.9,53.7,190.1,-117.1,0.05,0.77,88.7,15.5,8760
544,137.9,62.1,205.8,-117.1,0.05,0.796,87.4,15.1,8760
545,140.9,52.4,209.5,-119.4,0.05,0.804,87.6,14.5,8760
546,145.2,55.1,211.6,-124.9,0.05,0.776,87.2,16.1,8760
547,147.9,57.0,203.7,-117.1,0.05,0.807,88.4,17.0,8760
548,174.3,59.9,206.8,-118.5,0.05,0.806,86.0,14.9,8760
549,138.7,67.6,202.6,-128.3,0.05,0.796,88.8,14.9,8760
550,157.6,65.4,197.0,-121.1,0.05,0.772,86.5,15.6,8760
551,149.4,63.1,191.1,-121.2,0.05,0.818,87.3,14.0,8760
552,158.4,62.9,195.0,-113.6,0.05,0.797,88.0,14.1,8760
553,147.2,67.1,182.5,-119.2,0.05,0.799,87.7,15.9,8760
554,154.2,71.5,187.2,-119.5,0.05,0.799,86.6,15.8,8760
555,178.5,64.2,199.4,-119.7,0.05,0.783,85.9,14.4,8760
556,134.2,72.9,194.7,-121.4,0.05,0.815,86.6,14.4,8760
557,152.1,69.7,199.8,-119.0,0.05,0.799,88.1,15.2,8760
558,139.3,64.9,187.5,-119.7,0.05,0.788,90.2,15.0,8760
559,135.1,64.1,200.4,-113.3,0.05,0.786,86.1,15.6,8760
560,135.8,62.8,194.4,-120.3,0.05,0.812,87.0,14.8,8760
561,152.5,65.8,197.5,-118.3,0.05,0.815,88.1,15.3,8760
562,134.0,65.5,200.7,-117.1,0.05,0.785,87.1,14.5,8760
563,159.8,70.5,193.9,-116.4,0.05,0.801,87.6,14.8,8760
564,162.7,67.1,215.5,-123.4,0.05,0.809,87.2,14.3,8760
565,153.9,66.3,220.9,-120.7,0.05,0.776,88.0,13.3,8760
566,153.3,65.8,204.1,-116.1,0.05,0.789,87.6,14.3,8760
567,141.2,67.4,187.8,-121.7,0.05,0.779,88.3,16.4,8760
568,139.5,56.7,197.2,-119.9,0.05,0.804,87.3,14.8,8760
569,159.9,71.3,182.8,-121.5,0.05,0.804,86.8,16.3,8760
570,148.2,66.0,203.1,-122.4,0.05,0.763,87.3,15.7,8760
571,152.1,62.1,206.2,-121.3,0.05,0.79,87.9,15.5,8760
572,185.1,70.6,208.3,-122.0,0.05,0.779,87.8,15.0,8760
573,143.9,65.7,202.5,-118.6,0.05,0.81,88.1,14.5,8760
574,151.0,60.8,213.8,-119.9,0.05,0.796,86.9,17.2,8760
575,144.6,64.7,203.0,-117.6,0.05,0.819,89.6,15.3,8760
576,145.2,65.7,202.4,-111.7,0.05,0.773,89.0,15.0,8760
577,168.2,66.6,193.4,-117.0,0.05,0.814,88.8,14.9,8760
578,151.3,59.5,206.9,-118.3,0.05,0.781,87.3,14.5,8760
579,141.1,63.3,191.5,-121.6,0.05,0.786,86.2,16.5,8760
580,174.2,63.6,202.9,-118.3,0.05,0.825,87.0,15.7,8760
581,153.0,61.0,206.7,-114.8,0.05,0.853,86.6,15.4,8760
582,155.0,71.7,189.4,-125.1,0.05,0.786,87.9,14.3,8760
583,168.1,73.0,206.2,-113.5,0.05,0.81,86.6,15.9,8760
584,153.3,72.6,214.2,-118.2,0.05,0.772,86.9,15.9,8760
585,158.9,68.5,207.9,-117.2,0.05,0.807,87.6,14.6,8760
586,171.5,71.0,199.9,-115.7,0.05,0.799,87.0,14.2,8760
587,149.8,67.0,212.1,-123.2,0.05,0.806,87.2,14.6,8760
588,143.8,67.4,200.9,-117.8,0.05,0.807,86.7,15.7,8760
589,164.7,69.6,202.5,-122.1,0.05,0.807,88.3,13.4,8760
590,156.1,67.5,204.9,-115.2,0.05,0.787,87.4,14.4,8760
591,153.3,67.2,209.2,-124.2,0.05,0.811,86.2,14.3,8760
592,159.3,77.4,201.0,-128.8,0.05,0.763,87.9,15.3,8760
593,168.0,70.0,212.7,-122.2,0.05,0.821,86.3,14.0,8760
594,142.2,67.9,203.3,-119.5,0.05,0.804,87.0,14.6,8760
595,146.2,76.2,201.4,-122.0,0.05,0.835,86.7,13.8,8760
596,151.4,69.2,207.5,-117.0,0.05,0.855,85.7,15.2,8760
597,158.2,66.7,199.3,-123.6,0.05,0.837,88.8,14.7,8760
598,181.4,62.2,193.8,-128.7,0.05,0.789,88.1,14.8,8760
599,167.3,62.8,211.1,-119.0,0.05,0.818,86.0,15.0,8760
600,151.6,68.0,209.2,-119.6,0.05,0.787,87.9,13.5,8760
601,180.0,69.1,214.0,-122.1,0.05,0.793,87.2,15.4,8760
602,158.0,73.5,202.2,-127.9,0.05,0.793,86.8,14.7,8760
603,152.5,75.0,204.8,-120.7,0.05,0.817,88.9,14.7,8760
604,157.9,61.6,200.2,-122.5,0.05,0.806,87.6,15.2,8760
605,160.1,70.3,215.4,-118.6,0.05,0.803,87.3,14.2,8760
606,157.6,68.0,212.1,-120.9,0.05,0.778,89.7,14.9,8760
607,151.2,68.7,207.2,-113.2,0.05,0.782,88.9,15.8,8760
608,160.9,69.6,198.2,-120.8,0.05,0.804,88.6,15.5,8760
609,159.8,61.3,206.5,-118.8,0.05,0.81,87.6,14.8,8760
610,187.2,73.1,203.9,-122.0,0.05,0.802,89.6,14.5,8760
611,169.1,68.9,215.9,-112.2,0.05,0.814,88.1,14.7,8760
612,141.1,75.2,208.4,-118.3,0.05,0.791,87.6,14.3,8760
613,182.3,69.7,224.2,-118.3,0.05,0.78,87.9,14.1,8760
614,144.0,79.7,213.3,-117.9,0.05,0.809,86.6,14.2,8760
615,180.8,66.6,187.6,-120.9,0.05,0.803,88.1,15.2,8760
616,178.6,73.2,217.7,-126.1,0.05,0.816,88.6,13.6,8760
617,153.3,68.3,203.0,-117.0,0.05,0.794,87.2,14.1,8760
618,185.0,72.2,207.1,-120.4,0.05,0.832,87.3,15.6,8760
619,174.4,71.5,228.7,-124.2,0.05,0.799,86.8,15.4,8760
620,192.5,80.8,218.7,-120.8,0.05,0.799,86.4,16.2,8760
621,178.2,70.1,219.7,-123.9,0.05,0.815,87.9,15.1,8760
622,172.1,65.4,209.9,-115.8,0.05,0.806,88.8,13.7,8760
623,172.9,69.7,215.4,-119.9,0.05,0.821,89.1,15.1,8760
624,176.8,67.9,209.6,-122.1,0.05,0.8,87.7,13.8,8760
625,150.3,69.7,211.4,-125.4,0.05,0.807,89.9,15.4,8760
626,193.8,75.1,219.4,-122.9,0.05,0.794,85.3,15.5,8760
627,192.9,70.5,208.2,-123.0,0.05,0.815,89.2,13.1,8760
628,179.6,72.0,211.4,-118.2,0.05,0.804,88.0,14.4,8760
629,186.7,75.6,212.4,-125.1,0.05,0.8,89.0,14.6,8760
630,183.3,82.4,219.1,-119.6,0.05,0.797,85.5,14.4,8760
631,171.8,75.7,209.8,-121.3,0.05,0.772,87.1,14.9,8760
632,196.6,73.3,213.8,-116.2,0.05,0.792,88.5,13.9,8760
633,186.7,74.7,213.8,-123.1,0.05,0.822,90.2,13.7,8760
634,172.5,75.2,217.9,-122.2,0.05,0.751,89.5,15.1,8760
635,156.0,71.1,224.3,-114.2,0.05,0.827,87.9,14.6,8760
636,175.6,79.9,205.0,-123.2,0.05,0.829,88.1,15.6,8760
637,169.4,74.1,204.8,-120.0,0.05,0.779,87.6,13.3,8760
638,186.1,78.1,198.5,-114.7,0.05,0.859,88.2,14.0,8760
639,212.0,68.0,212.7,-119.3,0.05,0.836,88.5,14.1,8760
640,167.0,73.0,204.7,-119.8,0.05,0.798,86.6,15.5,8760
641,172.8,68.5,211.6,-119.7,0.05,0.774,88.5,13.6,8760
642,199.6,77.6,209.9,-123.0,0.05,0.807,88.7,14.4,8760
643,176.7,75.4,208.5,-121.4,0.05,0.767,89.1,14.7,8760
644,170.3,84.7,214.2,-124.1,0.05,0.826,88.5,14.8,8760
645,174.8,77.6,211.6,-117.8,0.05,0.771,87.7,15.8,8760
646,171.0,72.4,210.3,-124.9,0.05,0.765,87.9,14.5,8760
647,179.9,74.8,214.4,-115.9,0.05,0.806,87.6,14.2,8760
648,187.8,82.7,209.3,-119.6,0.05,0.817,87.2,14.4,8760
649,163.5,66.9,217.4,-121.5,0.05,0.814,88.1,13.6,8760
650,180.9,69.7,225.8,-125.4,0.05,0.806,87.1,14.9,8760
651,177.8,73.4,221.7,-119.9,0.05,0.82,87.2,13.3,8760
652,183.3,74.5,220.0,-120.3,0.05,0.814,86.6,15.9,8760
653,180.4,79.7,208.5,-118.8,0.05,0.784,88.6,14.1,8760
654,183.0,79.8,205.5,-122.7,0.05,0.82,90.3,14.3,8760
655,190.0,75.9,231.1,-127.0,0.05,0.813,86.6,12.4,8760
656,186.8,77.2,213.5,-120.4,0.05,0.873,87.9,14.8,8760
657,175.7,78.1,214.1,-121.6,0.05,0.847,89.4,14.5,8760
658,156.2,75.0,237.8,-120.9,0.05,0.833,89.6,14.5,8760
659,174.0,64.7,221.8,-123.3,0.05,0.815,87.0,14.1,8760
660,184.8,78.3,207.6,-115.2,0.05,0.799,86.5,14.3,8760
661,185.1,77.9,227.6,-120.9,0.05,0.809,87.1,15.0,8760
662,187.2,75.1,201.6,-114.2,0.05,0.787,87.6,14.6,8760
663,170.9,69.9,200.1,-117.1,0.05,0.801,91.2,13.5,8760
664,174.5,74.6,219.2,-121.9,0.05,0.824,87.3,13.2,8760
665,164.3,66.4,213.3,-121.2,0.05,0.799,89.5,15.3,8760
666,182.1,68.7,213.1,-122.4,0.05,0.799,87.5,13.8,8760
667,181.8,74.6,219.5,-118.6,0.05,0.794,89.5,13.5,8760
668,167.3,79.8,211.4,-118.7,0.05,0.764,89.6,14.8,8760
669,169.0,70.6,231.5,-122.9,0.05,0.796,86.0,14.0,8760
670,184.6,81.7,207.2,-126.1,0.05,0.821,89.3,13.0,8760
671,200.6,78.4,227.3,-120.3,0.05,0.762,88.1,15.1,8760
672,177.1,76.4,217.3,-131.6,0.05,0.846,87.4,14.7,8760
673,187.1,84.7,222.1,-120.9,0.05,0.795,89.1,12.8,8760
674,196.2,73.0,229.1,-119.4,0.05,0.826,88.4,12.9,8760
675,178.4,82.0,220.6,-115.3,0.05,0.821,87.3,13.6,8760
676,190.3,67.2,232.8,-118.2,0.05,0.838,86.7,15.2,8760
677,216.1,72.2,225.8,-120.0,0.05,0.782,88.8,14.9,8760
678,182.4,84.8,206.5,-126.0,0.05,0.816,88.3,13.7,8760
679,199.6,81.7,226.8,-120.5,0.05,0.825,87.9,15.9,8760
680,180.4,89.7,220.4,-125.5,0.05,0.841,88.4,14.9,8760
681,205.1,81.0,215.6,-116.1,0.05,0.814,89.0,12.5,8760
682,196.1,76.2,233.7,-117.5,0.05,0.819,88.8,13.4,8760
683,210.5,89.4,223.8,-113.6,0.05,0.802,87.5,14.2,8760
684,196.5,77.6,225.2,-118.8,0.05,0.794,88.8,14.9,8760
685,193.6,85.4,211.3,-118.1,0.05,0.791,87.2,13.7,8760
686,180.5,77.1,219.5,-116.7,0.05,0.808,86.7,15.1,8760
687,182.1,79.6,225.0,-119.2,0.05,0.836,88.8,13.5,8760
688,218.5,81.0,220.4,-116.1,0.05,0.819,88.7,16.2,8760
689,189.4,78.5,222.7,-115.7,0.05,0.784,86.4,13.7,8760
690,173.4,78.1,225.9,-123.6,0.05,0.786,88.4,14.9,8760
691,172.9,84.4,228.6,-116.2,0.05,0.839,90.6,13.9,8760
692,194.8,78.3,222.3,-113.9,0.05,0.788,87.5,15.3,8760
693,206.0,78.7,229.3,-118.6,0.05,0.845,88.4,15.0,8760
694,225.8,83.6,223.0,-117.1,0.05,0.808,90.8,14.3,8760
695,191.1,76.6,231.6,-116.5,0.05,0.805,89.0,12.9,8760
696,196.8,83.1,236.6,-123.1,0.05,0.79,87.5,13.1,8760
697,210.9,88.7,225.7,-115.1,0.05,0.818,88.3,13.9,8760
698,191.4,73.3,225.4,-120.2,0.05,0.83,88.5,14.0,8760
699,185.0,81.5,229.4,-124.6,0.05,0.817,88.6,13.5,8760
700,188.7,82.4,214.6,-118.6,0.05,0.798,89.5,16.0,8760
701,185.7,84.0,218.0,-115.8,0.05,0.791,88.9,13.4,8760
702,193.8,76.3,230.6,-123.3,0.05,0.827,88.1,14.0,8760
703,198.3,77.7,225.9,-113.9,0.05,0.801,89.6,15.3,8760
704,187.0,74.4,226.8,-122.2,0.05,0.854,88.4,13.4,8760
705,183.3,87.2,220.0,-119.8,0.05,0.835,87.9,14.0,8760
706,197.2,85.3,229.4,-120.9,0.05,0.818,88.0,12.9,8760
707,200.7,91.4,217.8,-123.1,0.05,0.799,89.2,14.4,8760
708,196.0,77.5,225.8,-126.3,0.05,0.819,89.3,13.1,8760
709,179.8,90.1,220.3,-115.5,0.05,0.814,88.3,14.4,8760
710,187.8,82.9,222.3,-125.3,0.05,0.824,88.2,13.9,8760
711,184.2,90.3,232.6,-116.1,0.05,0.811,86.7,15.6,8760
712,198.2,78.7,229.1,-115.3,0.05,0.817,89.7,14.9,8760
713,186.3,79.2,233.6,-130.9,0.05,0.814,87.0,13.7,8760
714,195.9,80.9,221.7,-124.4,0.05,0.863,90.3,13.1,8760
715,218.8,80.8,227.3,-120.3,0.05,0.804,89.4,14.1,8760
716,194.3,76.3,219.3,-126.6,0.05,0.818,87.3,13.8,8760
717,216.7,89.0,226.3,-120.3,0.05,0.855,89.0,13.8,8760
718,183.5,85.0,233.4,-122.5,0.05,0.823,88.1,13.9,8760
